year1,yearType,"values(singleYears)","values(startYears)","values(endYears)"
1820,residence,31,6701,6461
1821,any,,7810,1484
1821,birth,1022,30598,23794
1821,death,433,14764,10854
1821,marriage,157,6806,6347
1821,residence,,2681,2777
1822,any,,8426,2013
1822,birth,804,32675,32436
1822,death,305,15481,12691
1822,marriage,119,7115,7381
1822,residence,,2951,2974
1823,any,,7706,1456
1823,birth,720,34614,26516
1823,death,248,14419,12498
1823,marriage,113,6988,6332
1823,residence,,2768,2836
1824,any,,7838,1583
1824,birth,1425,33154,26922
1824,death,880,15328,12757
1824,marriage,212,7029,6941
1824,residence,,2869,2811
1825,any,,13483,4159
1825,birth,1008,48426,39906
1825,death,480,20331,19312
1825,marriage,148,8280,8356
1825,residence,2,3806,3655
1826,any,,8736,1896
1826,birth,2004,34263,28087
1826,death,1453,15879,13674
1826,marriage,159,7903,7185
1826,residence,,3620,3426
1827,any,,7543,1932
1827,birth,979,31961,31345
1827,death,477,14568,13799
1827,marriage,117,7105,7932
1827,residence,,3263,3393
1828,any,,10544,1564
1828,birth,1136,42209,27875
1828,death,572,16950,12885
1828,marriage,143,7521,6867
1828,residence,7,4062,2979
1829,any,,8106,1693
1829,birth,1063,31715,27035
1829,death,561,14615,12541
1829,marriage,115,6430,6632
1829,residence,,2648,2764
1830,any,,30253,10931
1830,birth,1619,63570,43783
1830,death,665,25011,21024
1830,marriage,184,14643,11814
1830,residence,,9100,7881
1831,any,,10684,1508
1831,birth,1404,36222,29051
1831,death,849,17842,14743
1831,marriage,424,7402,7471
1831,residence,180,3374,3399
1832,any,,9740,2137
1832,birth,1241,35793,36832
1832,death,442,16370,15100
1832,marriage,132,7685,8251
1832,residence,2,3286,3393
1833,any,,9829,2514
1833,birth,972,40241,29529
1833,death,392,17621,13815
1833,marriage,159,8557,6990
1833,residence,8,3313,4036
1834,any,,8621,1817
1834,birth,1273,35910,30911
1834,death,588,16538,14625
1834,marriage,176,7149,8909
1834,residence,2,3567,3699
1835,any,,14445,5206
1835,birth,1337,52567,44025
1835,death,528,24305,20379
1835,marriage,152,9432,9331
1835,residence,2,3849,4297
1836,any,,9430,2162
1836,birth,1201,37583,30310
1836,death,537,17356,14664
1836,marriage,233,7646,7427
1836,residence,2,3291,3473
1837,any,,9159,1875
1837,birth,1136,37178,35153
1837,death,561,18018,15860
1837,marriage,139,6921,8219
1837,residence,,3585,3758
1838,any,,9913,2041
1838,birth,1121,44779,31105
1838,death,435,18586,14953
1838,marriage,142,8669,7627
1838,residence,,3492,3560
1839,any,,8637,1833
1839,birth,1335,39977,31428
1839,death,521,20389,15041
1839,marriage,218,7646,8017
1839,residence,39,3597,3570
1840,any,,36860,9969
1840,birth,1625,72355,46599
1840,death,533,27798,22559
1840,marriage,171,13927,12170
1840,residence,18,9472,8463
1841,any,,9279,1950
1841,birth,1279,42044,36453
1841,death,538,20553,19483
1841,marriage,112,9820,9830
1841,residence,114,7137,7458
1842,any,,9658,2385
1842,birth,1227,41939,41409
1842,death,372,19609,17716
1842,marriage,331,7918,9208
1842,residence,5,3455,3752
1843,any,,10085,1835
1843,birth,1015,42758,33287
1843,death,437,18934,16200
1843,marriage,155,9417,7816
1843,residence,,4356,3814
1844,any,,10842,1831
1844,birth,1169,42050,34172
1844,death,484,19471,16545
1844,marriage,178,8580,7860
1844,residence,,3715,3936
1845,any,,16315,5311
1845,birth,1407,69107,48441
1845,death,600,32326,22177
1845,marriage,286,9026,8899
1845,residence,,4355,4506
1846,any,,9718,2640
1846,birth,1320,43250,35767
1846,death,560,20178,16929
1846,marriage,266,9138,9051
1846,residence,,3836,4499
1847,any,,10312,1989
1847,birth,1551,42414,37812
1847,death,855,19299,17333
1847,marriage,410,8752,8565
1847,residence,180,3929,3746
1848,any,,11777,2204
1848,birth,1463,53243,36154
1848,death,708,21441,17579
1848,marriage,262,10950,9060
1848,residence,110,4309,4352
1849,any,,10843,2701
1849,birth,1765,43224,37629
1849,death,833,19738,19528
1849,marriage,285,8286,8442
1849,residence,4,3973,4145
1850,any,,57404,21511
1850,birth,1585,120392,86248
1850,death,577,56271,52745
1850,marriage,347,26798,27473
1850,residence,108,38818,39041
1851,any,,10472,2556
1851,birth,1331,49602,42563
1851,death,622,25112,21853
1851,marriage,152,11229,12190
1851,residence,4,8946,9609
1852,any,,11094,2668
1852,birth,1374,49161,48780
1852,death,782,23748,21690
1852,marriage,271,10197,11244
1852,residence,3,5536,5520
1853,any,,10947,2422
1853,birth,1419,51134,38114
1853,death,702,22243,18800
1853,marriage,221,9718,9063
1853,residence,2,4985,4588
1854,any,,11237,2285
1854,birth,1299,48279,40366
1854,death,567,23167,20527
1854,marriage,194,9509,10072
1854,residence,2,4714,4729
1855,any,,16842,5637
1855,birth,1563,70515,68030
1855,death,540,32816,34877
1855,marriage,210,11009,10793
1855,residence,1,6190,6155
1856,any,,12123,2394
1856,birth,1421,52131,40830
1856,death,457,24180,20577
1856,marriage,234,9567,10254
1856,residence,50,4823,5002
1857,any,,11414,2478
1857,birth,1375,51509,43333
1857,death,529,24373,20592
1857,marriage,211,9344,9774
1857,residence,,4311,4644
1858,any,,12652,2242
1858,birth,1628,60471,41714
1858,death,857,26513,20912
1858,marriage,202,10924,9296
1858,residence,1,4847,4886
1859,any,,12194,2298
1859,birth,1178,64662,41672
1859,death,538,37662,20530
1859,marriage,138,20588,9028
1859,residence,,4504,4810
1860,any,,41955,16846
1860,birth,2223,106294,80433
1860,death,1133,52474,44171
1860,marriage,361,24261,22646
1860,residence,86,29335,27557
1861,any,,12221,3026
1861,birth,1528,55700,48409
1861,death,875,27191,24794
1861,marriage,237,10672,11686
1861,residence,,7870,8290
1862,any,,13113,2893
1862,birth,4106,54158,51349
1862,death,3382,26673,23744
1862,marriage,151,9366,10619
1862,residence,,5359,5229
1863,any,,13226,2799
1863,birth,1283,57946,57817
1863,death,577,28394,36395
1863,marriage,171,9939,22560
1863,residence,12,5304,5306
1864,any,,15088,2900
1864,birth,1453,57476,46134
1864,death,756,28091,25274
1864,marriage,194,10563,9875
1864,residence,,5476,5096
1865,any,,20078,6858
1865,birth,1330,82559,65627
1865,death,575,40189,34431
1865,marriage,216,11961,11628
1865,residence,,6636,6691
1866,any,,13457,2848
1866,birth,1648,56969,44972
1866,death,709,27010,23796
1866,marriage,377,10113,9636
1866,residence,,5435,5062
1867,any,,12720,2774
1867,birth,1363,57268,49864
1867,death,531,27481,25591
1867,marriage,170,9445,10271
1867,residence,,5140,5439
1868,any,,14118,3277
1868,birth,1434,66062,49268
1868,death,688,30517,25681
1868,marriage,152,10750,10439
1868,residence,,5698,5858
1869,any,,14085,2774
1869,birth,1573,60855,48177
1869,death,765,30633,25677
1869,marriage,211,12072,9843
1869,residence,6,5238,5225
1870,any,,43290,14951
1870,birth,2076,109364,83317
1870,death,973,51004,49282
1870,marriage,241,22434,21613
1870,residence,2,25695,25722
1871,any,,14134,2718
1871,birth,1417,64780,53478
1871,death,727,31894,29398
1871,marriage,282,12776,11834
1871,residence,89,9318,10044
1872,any,,13865,3302
1872,birth,1480,65034,57895
1872,death,567,32280,27980
1872,marriage,238,10901,10489
1872,residence,1,5443,5412
1873,any,,13579,2948
1873,birth,1473,67635,51615
1873,death,593,31932,28898
1873,marriage,299,11105,11138
1873,residence,2,5495,5475
1874,any,,15419,2926
1874,birth,1975,65817,51371
1874,death,604,31916,26505
1874,marriage,678,10172,9877
1874,residence,,4762,5064
1875,any,,22133,6917
1875,birth,2055,101842,75752
1875,death,1022,50212,40624
1875,marriage,387,12260,12197
1875,residence,,6833,6656
1876,any,,14499,3645
1876,birth,1862,68064,53757
1876,death,950,31620,27498
1876,marriage,253,9573,10279
1876,residence,,5149,5486
1877,any,,15564,3656
1877,birth,1722,69657,59953
1877,death,884,32610,30185
1877,marriage,185,10017,11375
1877,residence,,5686,5886
1878,any,,16309,3527
1878,birth,1629,77913,56248
1878,death,808,34378,29080
1878,marriage,186,10325,10340
1878,residence,,4989,5263
1879,any,,15120,4082
1879,birth,1802,71527,56501
1879,death,891,35078,28775
1879,marriage,182,9639,9683
1879,residence,,5077,5116
1880,any,,57345,19382
1880,birth,2042,165201,103995
1880,death,783,81893,61357
1880,marriage,323,40378,26512
1880,residence,54,35711,37745
1881,any,,16214,4288
1881,birth,1973,78743,64348
1881,death,1143,40150,33726
1881,marriage,309,13610,12571
1881,residence,88,9534,10076
1882,any,,18776,4106
1882,birth,1621,79137,67920
1882,death,905,38608,33644
1882,marriage,174,10842,11199
1882,residence,,5729,5591
1883,any,,17010,3275
1883,birth,2215,82191,61384
1883,death,1329,39023,32963
1883,marriage,335,11450,10852
1883,residence,48,5413,5611
1884,any,,19030,4612
1884,birth,2035,84973,77501
1884,death,1025,43587,47965
1884,marriage,325,11858,24730
1884,residence,,5776,5823
1885,any,,24580,8448
1885,birth,1757,120160,101312
1885,death,932,63272,51961
1885,marriage,242,13802,13123
1885,residence,,7146,7732
1886,any,,18801,4553
1886,birth,1846,83915,65474
1886,death,849,39961,34405
1886,marriage,171,10956,10543
1886,residence,,6015,6069
1887,any,,17314,3764
1887,birth,1793,81559,69004
1887,death,1038,40618,36140
1887,marriage,185,11205,11638
1887,residence,1,5753,5798
1888,any,,22511,5497
1888,birth,2046,91876,68677
1888,death,880,42750,36686
1888,marriage,310,12391,12203
1888,residence,2,5725,5657
1889,any,,21448,4874
1889,birth,1968,84969,68553
1889,death,1038,41749,37461
1889,marriage,187,11563,12664
1889,residence,,6170,6186
1890,any,,54124,20458
1890,birth,1770,134288,90034
1890,death,794,58783,45412
1890,marriage,255,18064,15116
1890,residence,64,10753,8611
1891,any,,16939,5133
1891,birth,1502,87492,75504
1891,death,761,47136,42721
1891,marriage,272,13088,14440
1891,residence,,9933,10400
1892,any,,19900,4840
1892,birth,1886,88425,77550
1892,death,904,43691,41514
1892,marriage,311,12001,13501
1892,residence,4,6709,7519
1893,any,,19809,5445
1893,birth,1749,95064,72535
1893,death,840,47794,40361
1893,marriage,300,10866,10242
1893,residence,,5979,6031
1894,any,,18571,3232
1894,birth,1452,91169,74861
1894,death,638,46806,42736
1894,marriage,189,11580,11046
1894,residence,,5642,5849
1895,any,,28688,8998
1895,birth,1537,170715,106506
1895,death,790,98163,63828
1895,marriage,142,13342,11191
1895,residence,,9327,7020
1896,any,,18669,5352
1896,birth,1613,94466,69594
1896,death,770,48641,38587
1896,marriage,162,10380,11203
1896,residence,,5807,6906
1897,any,,17641,4264
1897,birth,1785,90547,75468
1897,death,942,46675,41131
1897,marriage,321,10843,10018
1897,residence,,5131,5123
1898,any,,22804,4475
1898,birth,2006,108308,75549
1898,death,906,52060,42573
1898,marriage,322,11046,11848
1898,residence,,6015,5716
1899,any,,20855,7889
1899,birth,2293,95748,73912
1899,death,983,47865,40984
1899,marriage,611,10319,11517
1899,residence,,6005,6171
1900,any,,115402,54492
1900,birth,73479,215109,139312
1900,death,21664,96509,83528
1900,marriage,10727,32961,34232
1900,other,2834,,
1900,residence,4786,43049,41947
1901,any,,23213,4783
1901,birth,1845,109476,82491
1901,death,874,56982,48102
1901,marriage,208,15045,14598
1901,residence,4,11391,11910
1902,any,,21724,5266
1902,birth,2100,100478,89767
1902,death,965,49868,46106
1902,marriage,261,10334,10905
1902,residence,,6135,5898
1903,any,,20954,4170
1903,birth,1897,106448,80377
1903,death,1139,52981,45983
1903,marriage,198,10394,9782
1903,residence,2,5359,5514
1904,any,,20947,3719
1904,birth,1915,104131,81437
1904,death,999,53486,46622
1904,marriage,247,11851,11013
1904,residence,,6317,6244
1905,any,,26961,9510
1905,birth,2382,141075,165516
1905,death,1258,79059,106088
1905,marriage,234,12122,13535
1905,residence,,8347,8009
1906,any,,20489,4982
1906,birth,2104,109705,86305
1906,death,1266,57956,50773
1906,marriage,250,10907,10293
1906,residence,,6304,6057
1907,any,,22842,4575
1907,birth,3294,114656,89429
1907,death,2487,62764,51375
1907,marriage,243,10859,11627
1907,residence,,6721,6447
1908,any,,22894,5223
1908,birth,2147,120053,87935
1908,death,930,61476,50802
1908,marriage,299,12011,11150
1908,residence,,6310,6447
1909,any,,24887,4918
1909,birth,2103,113686,88786
1909,death,996,61059,51503
1909,marriage,306,11477,10796
1909,residence,2,6135,5917
1910,any,,45098,22618
1910,birth,2504,174215,136502
1910,death,1029,93958,85412
1910,marriage,517,24931,25650
1910,residence,31,30708,31501
1911,any,,23897,8895
1911,birth,2350,123742,100321
1911,death,1040,67954,60484
1911,marriage,205,16114,16178
1911,residence,45,13569,14445
1912,any,,27692,7908
1912,birth,2301,127915,102009
1912,death,1241,68964,56453
1912,marriage,318,12824,12122
1912,residence,2,7603,7094
1913,any,,23141,6941
1913,birth,2615,122533,98611
1913,death,1551,68871,57581
1913,marriage,663,10915,11283
1913,residence,180,5591,6357
1914,any,,23202,5312
1914,birth,1760,118345,98911
1914,death,1055,66855,56528
1914,marriage,146,10577,11885
1914,residence,,6166,6783
1915,any,,29667,10028
1915,birth,2026,169761,131031
1915,death,1271,103362,81111
1915,marriage,154,12329,12429
1915,residence,2,7512,7804
1916,any,,18134,4506
1916,birth,1567,120229,101810
1916,death,918,70839,62757
1916,marriage,189,10867,11492
1916,residence,,6942,6929
1917,any,,21938,5356
1917,birth,1834,125578,104910
1917,death,1662,72456,65512
1917,marriage,193,11407,11075
1917,residence,,7319,6906
1918,any,,25819,6898
1918,birth,1694,140257,99351
1918,death,38517,77665,63128
1918,marriage,313,13603,10930
1918,residence,,6673,6867
1919,any,,23891,5714
1919,birth,1959,130952,98975
1919,death,3080,72931,62269
1919,marriage,361,10902,10797
1919,residence,32,6540,5654
1920,any,,58773,27954
1920,birth,2118,204949,148831
1920,death,1089,109251,96520
1920,marriage,425,24652,24224
1920,residence,20,30437,30629
1921,any,,22856,4550
1921,birth,2017,135840,102198
1921,death,1299,77964,64157
1921,marriage,256,11469,11685
1921,residence,26,8202,8454
1922,any,,26044,6686
1922,birth,2241,140634,117193
1922,death,1576,78164,69924
1922,marriage,307,14369,12261
1922,residence,,6722,6551
1923,any,,23753,5348
1923,birth,1935,137699,111575
1923,death,1022,76428,70107
1923,marriage,211,11454,9935
1923,residence,,6202,5955
1924,any,,24013,4606
1924,birth,2450,133856,108442
1924,death,1545,75369,66592
1924,marriage,355,11461,10803
1924,residence,,7134,6680
1925,any,,32345,12404
1925,birth,2299,179429,162337
1925,death,1408,106031,107164
1925,marriage,258,13319,12540
1925,residence,6,9680,8578
1926,any,,23649,6330
1926,birth,2277,125952,111783
1926,death,1342,67735,70943
1926,marriage,185,9704,12373
1926,residence,,6032,6154
1927,any,,22815,5829
1927,birth,2311,130918,115920
1927,death,1450,73634,72591
1927,marriage,228,10501,11046
1927,residence,,5538,5681
1928,any,,25163,4900
1928,birth,2653,132656,110307
1928,death,1516,69813,69416
1928,marriage,370,10405,9762
1928,residence,,6635,5926
1929,any,,23619,5151
1929,birth,1888,121169,108203
1929,death,1049,67175,67981
1929,marriage,145,9585,9732
1929,residence,,5389,5264
1930,any,,54635,27689
1930,birth,2103,189078,162046
1930,death,1305,101563,104742
1930,marriage,145,24426,25070
1930,residence,10,31805,33491
1931,any,,19080,4451
1931,birth,1590,111027,109199
1931,death,921,62640,70412
1931,marriage,337,8689,9664
1931,residence,62,4869,5451
1932,any,,23469,6058
1932,birth,1319,114289,111272
1932,death,738,62155,67513
1932,marriage,84,9291,9846
1932,residence,,4989,5057
1933,any,,25733,4447
1933,birth,4437,117842,99895
1933,death,3836,63362,64241
1933,marriage,147,11168,8404
1933,residence,,5227,4780
1934,any,,22876,5159
1934,birth,1268,108317,102474
1934,death,439,58989,64696
1934,marriage,181,9277,8614
1934,residence,98,4803,4869
1935,any,,29692,11310
1935,birth,1595,153758,151636
1935,death,958,92431,103492
1935,marriage,165,16052,15886
1935,residence,,15667,16650
1936,any,,22966,5518
1936,birth,1686,104350,89789
1936,death,1069,55630,57078
1936,marriage,91,9521,9553
1936,residence,3,5053,5524
1937,any,,21948,5487
1937,birth,2189,104614,97698
1937,death,1404,58281,62841
1937,marriage,218,9259,9634
1937,residence,7,4833,4651
1938,any,,23534,5349
1938,birth,2284,104664,90174
1938,death,1347,56038,57135
1938,marriage,277,10000,8666
1938,residence,1,4834,4670
1939,any,,23289,4735
1939,birth,1700,104688,91281
1939,death,1014,57330,60868
1939,marriage,210,13026,11104
1939,residence,,7345,7669
1940,any,,51300,24663
1940,birth,1877,162823,136071
1940,death,1070,91510,89997
1940,marriage,198,24282,25121
1940,residence,89,28220,28286
1941,any,,21136,4748
1941,birth,1569,94630,87137
1941,death,3604,53418,57508
1941,marriage,211,9034,8896
1941,residence,1,4779,4916
1942,any,,23796,6127
1942,birth,1521,106147,87489
1942,death,17089,60626,56871
1942,marriage,90,9548,9867
1942,residence,3,5573,5830
1943,any,,22524,5434
1943,birth,1562,102646,84712
1943,death,26236,57837,57248
1943,marriage,201,9128,8730
1943,residence,21,4948,5133
1944,any,,23810,6156
1944,birth,1576,91549,83688
1944,death,87484,51184,55142
1944,marriage,87,8470,8131
1944,residence,,4714,4531
1945,any,,31082,13124
1945,birth,1592,134450,119595
1945,death,58955,77082,83082
1945,marriage,65,11614,11161
1945,residence,,7151,7061
1946,any,,22864,5739
1946,birth,1466,100339,81954
1946,death,10005,58790,56104
1946,marriage,187,20726,8961
1946,residence,,5438,4582
1947,any,,25148,6154
1947,birth,1528,91902,89772
1947,death,826,48477,61680
1947,marriage,199,10296,9928
1947,residence,1,5921,5329
1948,any,,23864,7151
1948,birth,1505,94107,79644
1948,death,578,50572,52261
1948,marriage,230,8992,8518
1948,residence,25,4025,4418
1949,any,,24696,4659
1949,birth,1390,89351,78494
1949,death,628,47592,52412
1949,marriage,156,8913,8287
1949,residence,5,8638,5105
1950,any,,49647,41439
1950,birth,1511,124539,136788
1950,death,16433,64424,93235
1950,marriage,290,17762,34141
1950,residence,55,19477,22230
1951,any,,19049,9513
1951,birth,1230,79190,76610
1951,death,17986,44146,47219
1951,marriage,188,8447,8034
1951,residence,,4806,9119
1952,any,,21754,6989
1952,birth,1327,80072,77849
1952,death,8246,42299,49828
1952,marriage,204,8718,8798
1952,residence,4,4077,4150
1953,any,,20775,4767
1953,birth,1634,80352,70731
1953,death,6322,44013,46833
1953,marriage,355,7951,7181
1953,residence,,3825,4297
1954,any,,22113,5332
1954,birth,1876,79382,67425
1954,death,1436,42105,43790
1954,marriage,337,8462,7888
1954,residence,64,4626,4214
1955,any,,24124,10285
1955,birth,1287,98048,100546
1955,death,647,57377,68717
1955,marriage,144,8847,9563
1955,residence,5,5418,5601
1956,any,,20039,5000
1956,birth,1340,75018,62426
1956,death,841,40131,40712
1956,marriage,315,8080,7717
1956,residence,3,4125,3740
1957,any,,19040,5009
1957,birth,1093,72996,64453
1957,death,725,41227,42354
1957,marriage,72,7216,7552
1957,residence,,4472,4511
1958,any,,19687,5651
1958,birth,1191,77077,64032
1958,death,774,42846,41939
1958,marriage,264,7731,6847
1958,residence,,4254,4126
1959,any,,19536,4860
1959,birth,1044,69804,62288
1959,death,502,38344,41244
1959,marriage,88,7079,6648
1959,residence,,3797,3763
1960,any,,35640,23171
1960,birth,1782,89985,77735
1960,death,1026,50042,50240
1960,marriage,314,10253,11124
1960,residence,52,7891,7998
1961,any,,18064,4547
1961,birth,817,67558,60855
1961,death,477,38253,40678
1961,marriage,58,6723,5933
1961,residence,,3177,2901
1962,any,,18657,6219
1962,birth,1352,69605,61812
1962,death,863,40575,41834
1962,marriage,218,6327,6827
1962,residence,,3976,4616
1963,any,,18056,5147
1963,birth,1324,70722,59177
1963,death,696,41580,41052
1963,marriage,169,6337,6005
1963,residence,1,3986,4042
1964,any,,19172,4695
1964,birth,1315,69425,54472
1964,death,689,39781,37261
1964,marriage,124,6022,5719
1964,residence,,4029,3965
1965,any,,20485,9200
1965,birth,825,84671,80656
1965,death,658,55199,58231
1965,marriage,118,6577,6866
1965,residence,92,4887,5318
1966,any,,16942,4747
1966,birth,744,65485,53164
1966,death,922,38777,36267
1966,marriage,67,5859,5640
1966,residence,,3689,3367
1967,any,,16927,4945
1967,birth,905,67402,54700
1967,death,928,41709,39019
1967,marriage,160,5985,5420
1967,residence,,3439,3163
1968,any,,17421,5287
1968,birth,1023,69518,55198
1968,death,1093,42918,39997
1968,marriage,137,6353,5857
1968,residence,3,3864,4257
1969,any,,18193,5470
1969,birth,1160,68025,53202
1969,death,1111,39085,38366
1969,marriage,155,6086,5756
1969,residence,20,3267,3481
1970,any,,30037,17782
1970,birth,1333,82967,68282
1970,death,903,50792,49806
1970,marriage,397,8944,8517
1970,residence,1,7167,7162
1971,any,,16901,4665
1971,birth,815,66453,51515
1971,death,721,40086,36818
1971,marriage,53,5408,5112
1971,residence,,3210,3327
1972,any,,17796,5059
1972,birth,1027,69744,53963
1972,death,988,42508,39461
1972,marriage,212,6060,5549
1972,residence,10,3787,3306
1973,any,,17131,5039
1973,birth,1067,68006,53117
1973,death,1060,41974,39643
1973,marriage,151,5482,5268
1973,residence,,3374,3010
1974,any,,17178,4780
1974,birth,895,67057,50964
1974,death,723,41425,38417
1974,marriage,60,5831,5054
1974,residence,,3316,3469
1975,any,,19136,8301
1975,birth,1068,86918,69425
1975,death,862,58844,53893
1975,marriage,135,6577,5819
1975,residence,15,3565,3808
1976,any,,16533,4369
1976,birth,695,65004,48651
1976,death,542,39497,36381
1976,marriage,38,4622,4649
1976,residence,,2766,2622
1977,any,,16126,4704
1977,birth,966,67400,51958
1977,death,727,42002,39402
1977,marriage,135,5006,5170
1977,residence,,3309,2870
1978,any,,15865,5029
1978,birth,794,67196,50465
1978,death,473,41487,38609
1978,marriage,82,4957,4686
1978,residence,17,2642,2734
1979,any,,15550,4759
1979,birth,1268,64462,49651
1979,death,598,40848,37341
1979,marriage,249,4972,5110
1979,residence,,3051,2722
1980,any,,30649,18170
1980,birth,991,78818,62540
1980,death,589,52547,49182
1980,marriage,339,6588,6996
1980,residence,,5544,6449
1981,any,,13881,3821
1981,birth,839,65182,50099
1981,death,688,42690,39324
1981,marriage,54,4437,3726
1981,residence,,2676,2759
1982,any,,15035,3952
1982,birth,700,64953,51902
1982,death,466,43315,40843
1982,marriage,61,4356,3999
1982,residence,17,2713,2573
1983,any,,13738,4536
1983,birth,661,65519,50886
1983,death,490,45119,40377
1983,marriage,101,4776,4404
1983,residence,,2718,2743
1984,any,,13433,3693
1984,birth,650,64389,49038
1984,death,496,45142,38692
1984,marriage,95,3974,4078
1984,residence,,2831,2799
1985,any,,15319,6678
1985,birth,907,76448,69680
1985,death,706,57153,58993
1985,marriage,159,4536,5362
1985,residence,,3370,3059
1986,any,,14051,4888
1986,birth,811,64394,48758
1986,death,623,45693,39968
1986,marriage,181,3904,4125
1986,residence,,3183,2999
1987,any,,13184,3915
1987,birth,726,65724,52679
1987,death,443,47822,43403
1987,marriage,39,3919,3797
1987,residence,,2676,2594
1988,any,,13068,4663
1988,birth,820,64515,50392
1988,death,677,47030,41670
1988,marriage,113,4209,3702
1988,residence,6,2756,2850
1989,any,,13440,4733
1989,birth,671,64759,50329
1989,death,519,47931,42903
1989,marriage,55,3740,3699
1989,residence,45,2832,2685
1990,any,,18963,15719
1990,birth,745,72589,62821
1990,death,688,57061,54361
1990,marriage,53,4633,5401
1990,residence,,4625,5094
1991,any,,12019,3597
1991,birth,699,63620,52619
1991,death,648,47996,45698
1991,marriage,85,3685,3021
1991,residence,,2153,2337
1992,any,,13061,4510
1992,birth,1054,64350,52642
1992,death,799,49236,45696
1992,marriage,261,4408,4652
1992,residence,2,3827,3613
1993,any,,12717,4106
1993,birth,1209,67248,53244
1993,death,868,51949,46940
1993,marriage,133,4775,4959
1993,residence,,5137,5677
1994,any,,14061,5164
1994,birth,630,67515,51570
1994,death,442,51603,46021
1994,marriage,152,4046,3880
1994,residence,,3062,3272
1995,any,,14483,6162
1995,birth,490,82781,64709
1995,death,481,68719,59596
1995,marriage,23,3992,4422
1995,residence,,3042,3516
1996,any,,13231,4585
1996,birth,1239,66001,49257
1996,death,946,50369,44421
1996,marriage,11,3186,3487
1996,residence,1,3040,3092
1997,any,,13648,4737
1997,birth,637,66413,51473
1997,death,567,50447,46607
1997,marriage,19,3412,3504
1997,residence,10,2641,2767
1998,any,,14706,5112
1998,birth,530,70064,51064
1998,death,564,54444,47146
1998,marriage,97,3356,3350
1998,residence,,2520,2789
1999,any,,16091,8032
1999,birth,870,70719,55036
1999,death,860,55224,51884
1999,marriage,293,3715,3838
1999,residence,,3360,3478
2000,any,,25290,26014
2000,birth,9960,79687,65602
2000,death,19205,62718,59694
2000,marriage,1343,4284,5447
2000,other,953,,
2000,residence,2449,5324,6289
2001,any,,16846,5125
2001,birth,792,70266,52969
2001,death,838,53038,49484
2001,marriage,96,2656,2766
2001,residence,,2594,2839
2002,any,,16603,5040
2002,birth,677,73379,55511
2002,death,633,55460,51817
2002,marriage,108,2807,3790
2002,residence,,2910,3242
2003,any,,17122,5499
2003,birth,475,75850,55371
2003,death,459,55045,52448
2003,marriage,23,2945,3299
2003,residence,3,2935,3278
2004,any,,17544,4366
2004,birth,734,75838,54258
2004,death,758,53993,51107
2004,marriage,129,2820,2951
2004,residence,,2588,2528
2005,any,,19674,7653
2005,birth,573,86391,70762
2005,death,613,66568,69564
2005,marriage,21,3078,3592
2005,residence,,3221,3860
2006,any,,20221,4727
2006,birth,645,76614,53091
2006,death,655,55043,50499
2006,marriage,123,3000,2825
2006,residence,21,2955,2654
2007,any,,18659,5108
2007,birth,472,76588,52101
2007,death,545,56880,50059
2007,marriage,33,2640,2785
2007,residence,,2905,2486
2008,any,,19686,5834
2008,birth,828,75895,54603
2008,death,698,57398,51977
2008,marriage,176,3283,3752
2008,residence,,3290,3581
2009,any,,16448,5264
2009,birth,702,71147,53487
2009,death,692,56224,50955
2009,marriage,44,2326,3074
2009,residence,,2211,2354
2010,any,,16310,10223
2010,birth,643,74519,61044
2010,death,500,65388,59543
2010,marriage,67,2336,3423
2010,residence,,2922,3445
2011,any,,9820,4764
2011,birth,530,63729,53576
2011,death,585,59251,50731
2011,marriage,16,2864,2711
2011,residence,6,2500,2560
2012,any,,7692,4583
2012,birth,460,63565,54496
2012,death,490,63657,51622
2012,marriage,97,2440,2397
2012,residence,,1726,1862
2013,any,,7007,4830
2013,birth,543,62942,60343
2013,death,729,65786,56972
2013,marriage,20,2438,2297
2013,residence,,2130,2032
2014,any,,6999,5708
2014,birth,815,63857,60101
2014,death,777,67962,56680
2014,marriage,150,2397,2897
2014,residence,,1645,2339
2015,any,,8692,8231
2015,birth,726,71206,67864
2015,death,710,77107,65735
2015,marriage,118,2709,3102
2015,residence,,1990,2802
2016,any,,8035,5643
2016,birth,638,69515,57707
2016,death,776,76211,55728
2016,marriage,54,2216,2497
2016,residence,,1552,1940
2017,any,,7204,5346
2017,birth,673,73408,58738
2017,death,637,81510,59332
2017,marriage,309,2517,2573
2017,residence,1,1743,2124
2018,any,,9509,7408
2018,birth,608,67876,59181
2018,death,664,74396,61607
2018,marriage,37,2434,2515
2018,residence,1,1920,2348
2019,any,,8649,6543
2019,birth,519,38270,57020
2019,death,550,39330,59791
2019,marriage,15,2877,2420
2019,residence,,2031,2143
2020,any,,11211,16856
2020,birth,763,36734,62761
2020,death,870,38357,67020
2020,marriage,33,2660,3380
2020,residence,6,2045,4151
2021,any,,11396,8820
2021,birth,726,18131,57804
2021,death,892,20196,62131
2021,marriage,60,2690,2817
2021,residence,,1632,2666
2022,any,,14806,14469
2022,birth,941,15689,64046
2022,death,1037,19700,68956
2022,marriage,9,1871,3089
2022,residence,1,1306,3249
2023,any,,12716,77030
2023,birth,630,17942,104569
2023,death,753,17676,82345
2023,marriage,9,1755,12489
2023,residence,5,2749,21869
2024,any,,,18
2024,birth,,131,51459
2024,death,,83,53430
